Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P10UDT4074 ,P10UC20 ,3 ,12.47 ,300.00 ,P10UHS3_1247 ,P10UHS3_1247 -> P10UDT3420 ,
P10UDT3917 ,P10UC21 ,3 ,12.47 ,300.00 ,P10UHS3_1247 ,P10UHS3_1247 -> P10UDT5435 ,
P10UDT3025 ,P10UC22 ,3 ,12.47 ,300.00 ,P10UHS3_1247 ,P10UHS3_1247 -> P10UDT4601 ,
P10UDT5435 ,P10UC23 ,3 ,12.47 ,600.00 ,P10UHS3_1247 ,P10UHS3_1247 -> P10UDT5435 ,
P10UDT5289 ,P10UC24 ,3 ,12.47 ,600.00 ,P10UHS3_1247 ,P10UHS3_1247 -> P10UDT5289 ,
P10UDT4601 ,P10UC25 ,3 ,12.47 ,600.00 ,P10UHS3_1247 ,P10UHS3_1247 -> P10UDT4601 ,
P10UDT3420 ,P10UC26 ,3 ,12.47 ,600.00 ,P10UHS3_1247 ,P10UHS3_1247 -> P10UDT3420 ,
P10UDT3414 ,P10UC27 ,3 ,12.47 ,600.00 ,P10UHS3_1247 ,P10UHS3_1247 -> P10UDT3414 ,
P10UDT6321 ,P10UC28 ,3 ,12.47 ,450.00 ,P10UHS4_1247 ,P10UHS4_1247 -> P10UDT6303 ,
P10UDT4377 ,P10UC29 ,3 ,12.47 ,300.00 ,P10UHS4_1247 ,P10UHS4_1247 -> P10UDT6303 ,
P10UDT4328 ,P10UC30 ,3 ,12.47 ,300.00 ,P10UHS4_1247 ,P10UHS4_1247 -> P10UDT3935 ,
P10UDT6156 ,P10UC31 ,3 ,12.47 ,300.00 ,P10UHS4_1247 ,P10UHS4_1247 -> P10UDT4214 ,
P10UDT5256 ,P10UC32 ,3 ,12.47 ,300.00 ,P10UHS4_1247 ,P10UHS4_1247 -> P10UDT6303 ,
P10UDT5153 ,P10UC33 ,3 ,12.47 ,300.00 ,P10UHS4_1247 ,P10UHS4_1247 -> P10UDT3935 ,
P10UDT3873 ,P10UC34 ,3 ,12.47 ,300.00 ,P10UHS4_1247 ,P10UHS4_1247 -> P10UDT4214 ,
P10UDT4231 ,P10UC35 ,3 ,12.47 ,300.00 ,P10UHS4_1247 ,P10UHS4_1247 -> P10UDT3935 ,
P10UMV1    ,P10UC36 ,3 ,12.47 ,300.00 ,P10UHS5_1247 ,P10UHS5_1247 -> P10UDT1433 ,
P10UDT1532 ,P10UC37 ,3 ,12.47 ,600.00 ,P10UHS5_1247 ,P10UHS5_1247 -> P10UDT1532 ,
P10UDT1436 ,P10UC38 ,3 ,12.47 ,600.00 ,P10UHS5_1247 ,P10UHS5_1247 -> P10UDT1436 ,
P10UDT1433 ,P10UC39 ,3 ,12.47 ,600.00 ,P10UHS5_1247 ,P10UHS5_1247 -> P10UDT1433 ,
P10UDT1435 ,P10UC40 ,3 ,12.47 ,300.00 ,P10UHS5_1247 ,P10UHS5_1247 -> P10UDT1436 ,
P10UDT6015 ,P10UC41 ,3 ,12.47 ,300.00 ,P10UHS6_1247 ,P10UHS6_1247 -> P10UDT4567 ,
P10UDT5865 ,P10UC42 ,3 ,12.47 ,600.00 ,P10UHS6_1247 ,P10UHS6_1247 -> P10UDT5865 ,
P10UDT5604 ,P10UC43 ,3 ,12.47 ,600.00 ,P10UHS6_1247 ,P10UHS6_1247 -> P10UDT5604 ,
P10UDT4567 ,P10UC44 ,3 ,12.47 ,600.00 ,P10UHS6_1247 ,P10UHS6_1247 -> P10UDT4567 ,
P10UDT4111 ,P10UC45 ,3 ,12.47 ,600.00 ,P10UHS6_1247 ,P10UHS6_1247 -> P10UDT4111 ,
P10UDT5605 ,P10UC46 ,3 ,12.47 ,300.00 ,P10UHS6_1247 ,P10UHS6_1247 -> P10UDT5604 ,
P10UDT2695 ,P10UC47 ,3 ,12.47 ,300.00 ,P10UHS7_1247 ,P10UHS7_1247 -> P10UDT1686 ,
P10UDT1595 ,P10UC48 ,3 ,12.47 ,300.00 ,P10UHS7_1247 ,P10UHS7_1247 -> P10UDT1686 ,
P10UDT1850 ,P10UC49 ,3 ,12.47 ,300.00 ,P10UHS7_1247 ,P10UHS7_1247 -> P10UDT1837 ,
P10UDT1522 ,P10UC50 ,3 ,12.47 ,300.00 ,P10UHS7_1247 ,P10UHS7_1247 -> P10UDT1879 ,
P10UDT1639 ,P10UC51 ,3 ,12.47 ,300.00 ,P10UHS7_1247 ,P10UHS7_1247 -> P10UDT1686 ,
P10UDT2302 ,P10UC52 ,3 ,12.47 ,600.00 ,P10UHS7_1247 ,P10UHS7_1247 -> P10UDT2302 ,
P10UDT6282 ,P10UC53 ,3 ,12.47 ,300.00 ,P10UHS8_1247 ,P10UHS8_1247 -> P10UDT3041 ,
P10UDT3042 ,P10UC54 ,3 ,12.47 ,300.00 ,P10UHS8_1247 ,P10UHS8_1247 -> P10UDT3041 ,
P10UDT4086 ,P10UC55 ,3 ,12.47 ,600.00 ,P10UHS8_1247 ,P10UHS8_1247 -> P10UDT4086 ,
P10UDT3041 ,P10UC56 ,3 ,12.47 ,600.00 ,P10UHS8_1247 ,P10UHS8_1247 -> P10UDT3041 ,
P10UDT4080 ,P10UC57 ,3 ,12.47 ,300.00 ,P10UHS8_1247 ,P10UHS8_1247 -> P10UDT4086 ,
P10UDT3346 ,P10UC58 ,3 ,12.47 ,300.00 ,P10UHS8_1247 ,P10UHS8_1247 -> P10UDT4148 ,
P10UDT5177 ,P10UC59 ,3 ,12.47 ,300.00 ,P10UHS9_1247 ,P10UHS9_1247 -> P10UDT4805 ,
P10UDT5852 ,P10UC60 ,3 ,12.47 ,300.00 ,P10UHS9_1247 ,P10UHS9_1247 -> P10UDT4805 ,
P10UDT3531 ,P10UC61 ,3 ,12.47 ,300.00 ,P10UHS9_1247 ,P10UHS9_1247 -> P10UDT5618 ,
P10UDT3152 ,P10UC62 ,3 ,12.47 ,300.00 ,P10UHS9_1247 ,P10UHS9_1247 -> P10UDT4805 ,
P10UDT4789 ,P10UC63 ,3 ,12.47 ,300.00 ,P10UHS9_1247 ,P10UHS9_1247 -> P10UDT4838 ,
P10UDT4802 ,P10UC64 ,3 ,12.47 ,300.00 ,P10UHS9_1247 ,P10UHS9_1247 -> P10UDT4805 ,
