Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P3UDT7393  ,P3UC21 ,3 ,12.47 ,300.00 ,P3UHS3_1247 ,P3UHS3_1247 -> P3UDT2524  ,
P3UDT6798  ,P3UC22 ,3 ,12.47 ,450.00 ,P3UHS4_1247 ,P3UHS4_1247 -> P3UDT11223 ,
P3UDT3506  ,P3UC23 ,3 ,12.47 ,450.00 ,P3UHS4_1247 ,P3UHS4_1247 -> P3UMV19    ,
P3UMV22    ,P3UC24 ,3 ,12.47 ,300.00 ,P3UHS4_1247 ,P3UHS4_1247 -> P3UDT10998 ,
P3UDT6889  ,P3UC25 ,3 ,12.47 ,450.00 ,P3UHS4_1247 ,P3UHS4_1247 -> P3UDT11223 ,
P3UDT4574  ,P3UC26 ,3 ,12.47 ,450.00 ,P3UHS4_1247 ,P3UHS4_1247 -> P3UMV19    ,
P3UDT777   ,P3UC27 ,3 ,12.47 ,600.00 ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT3270  ,
P3UDT8793  ,P3UC28 ,3 ,12.47 ,450.00 ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT3270  ,
P3UMV11    ,P3UC29 ,3 ,12.47 ,600.00 ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT11356 ,
P3UDT8383  ,P3UC30 ,3 ,12.47 ,450.00 ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT3270  ,
P3UDT9068  ,P3UC31 ,3 ,12.47 ,450.00 ,P3UHS5_1247 ,P3UHS5_1247 -> P3UDT11356 ,
P3UDT2854  ,P3UC32 ,3 ,12.47 ,450.00 ,P3UHS6_1247 ,P3UHS6_1247 -> P3UDT11346 ,
P3UDT7895  ,P3UC33 ,3 ,12.47 ,300.00 ,P3UHS6_1247 ,P3UHS6_1247 -> P3UDT11346 ,
P3UDT11326 ,P3UC34 ,3 ,12.47 ,300.00 ,P3UHS6_1247 ,P3UHS6_1247 -> P3UDT11346 ,
P3UDT7788  ,P3UC35 ,3 ,12.47 ,300.00 ,P3UHS6_1247 ,P3UHS6_1247 -> P3UDT11347 ,
P3UDT12146 ,P3UC36 ,3 ,12.47 ,300.00 ,P3UHS6_1247 ,P3UHS6_1247 -> P3UDT11241 ,
P3UDT12435 ,P3UC37 ,3 ,12.47 ,450.00 ,P3UHS7_1247 ,P3UHS7_1247 -> P3UDT6011  ,
P3UMV21    ,P3UC38 ,3 ,12.47 ,450.00 ,P3UHS7_1247 ,P3UHS7_1247 -> P3UDT10463 ,
P3UDT3717  ,P3UC39 ,3 ,12.47 ,450.00 ,P3UHS7_1247 ,P3UHS7_1247 -> P3UDT4196  ,
P3UDT4145  ,P3UC40 ,3 ,12.47 ,450.00 ,P3UHS7_1247 ,P3UHS7_1247 -> P3UDT10463 ,
P3UDT12448 ,P3UC41 ,3 ,12.47 ,450.00 ,P3UHS7_1247 ,P3UHS7_1247 -> P3UDT6011  ,
P3UDT9863  ,P3UC42 ,3 ,12.47 ,300.00 ,P3UHS7_1247 ,P3UHS7_1247 -> P3UDT10464 ,
P3UDT9524  ,P3UC43 ,3 ,12.47 ,450.00 ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8466  ,
P3UDT7989  ,P3UC44 ,3 ,12.47 ,450.00 ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8281  ,
P3UDT973   ,P3UC45 ,3 ,12.47 ,450.00 ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT1318  ,
P3UDT9706  ,P3UC46 ,3 ,12.47 ,300.00 ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8281  ,
P3UDT3005  ,P3UC47 ,3 ,12.47 ,300.00 ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8466  ,
P3UDT7673  ,P3UC48 ,3 ,12.47 ,300.00 ,P3UHS8_1247 ,P3UHS8_1247 -> P3UDT8281  ,
P3UDT2784  ,P3UC49 ,3 ,12.47 ,450.00 ,P3UHS9_1247 ,P3UHS9_1247 -> P3UDT2525  ,
P3UDT9887  ,P3UC50 ,3 ,12.47 ,450.00 ,P3UHS9_1247 ,P3UHS9_1247 -> P3UDT2525  ,
P3UDT3131  ,P3UC51 ,3 ,12.47 ,450.00 ,P3UHS9_1247 ,P3UHS9_1247 -> P3UDT2525  ,
