Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P1ULV27   ,1 ,0.42  ,4.47    ,0.91   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.18   ,2.27   ,49696.98    ,3   ,
P1ULV28   ,1 ,0.42  ,3.35    ,0.68   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,8.38    ,1.70   ,37258.65    ,2   ,
P1ULV29   ,1 ,0.42  ,3.17    ,0.64   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,7.93    ,1.61   ,35238.96    ,2   ,
P1ULV30   ,1 ,0.42  ,5.22    ,1.06   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,13.06   ,2.65   ,58067.02    ,3   ,
P1ULV31   ,1 ,0.42  ,5.67    ,1.15   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,14.17   ,2.88   ,63017.86    ,3   ,
P1ULV31   ,1 ,0.42  ,1.43    ,0.29   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,3.57    ,0.72   ,13453.86    ,1   ,
P1ULV33   ,1 ,0.42  ,1.74    ,0.35   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.34    ,0.88   ,16363.55    ,1   ,
P1ULV34   ,1 ,0.42  ,1.37    ,0.45   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,3.43    ,1.13   ,11456.86    ,1   ,
P1ULV35   ,1 ,0.42  ,3.61    ,0.73   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,9.02    ,1.83   ,36466.04    ,1   ,
P1ULV36   ,1 ,0.42  ,5.44    ,1.10   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,13.60   ,2.76   ,60480.58    ,3   ,
P1ULV37   ,1 ,0.42  ,4.41    ,0.90   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.03   ,2.24   ,41563.80    ,3   ,
P1ULV38   ,1 ,0.42  ,2.25    ,0.46   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.62    ,1.14   ,24974.97    ,1   ,
P1ULV39   ,1 ,0.42  ,3.19    ,0.65   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,7.98    ,1.62   ,35498.46    ,2   ,
P1ULV40   ,1 ,0.42  ,5.01    ,1.02   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.52   ,2.54   ,55645.20    ,3   ,
P1ULV40   ,1 ,0.42  ,2.80    ,0.57   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,7.01    ,1.42   ,26408.62    ,2   ,
P1ULV42   ,1 ,0.42  ,1.69    ,0.34   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.22    ,0.86   ,15914.71    ,1   ,
P1ULV43   ,1 ,0.42  ,1.47    ,0.30   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,3.67    ,0.74   ,13815.46    ,1   ,
P1ULV44   ,1 ,0.42  ,8.70    ,1.77   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,21.74   ,4.41   ,96652.69    ,5   ,
P1ULV45   ,1 ,0.42  ,1.70    ,0.34   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.24    ,0.86   ,15987.65    ,1   ,
P1ULV46   ,1 ,0.42  ,5.73    ,1.16   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,14.32   ,2.91   ,63652.61    ,3   ,
P1ULV47   ,1 ,0.42  ,6.34    ,1.29   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,15.86   ,3.22   ,70504.87    ,4   ,
P1ULV47   ,1 ,0.42  ,9.43    ,1.91   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,23.57   ,4.79   ,104809.30   ,6   ,
P1ULV49   ,1 ,0.42  ,4.48    ,0.91   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.20   ,2.28   ,49816.23    ,3   ,
P1ULV50   ,1 ,0.42  ,4.30    ,0.87   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,10.75   ,2.18   ,47814.26    ,3   ,
P1ULV51   ,1 ,0.42  ,5.20    ,1.06   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,13.00   ,2.64   ,57785.58    ,3   ,
P1ULV52   ,1 ,0.42  ,2.51    ,0.51   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,6.27    ,1.27   ,23642.52    ,2   ,
P1ULV53   ,1 ,0.42  ,4.65    ,0.94   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.63   ,2.36   ,51704.39    ,3   ,
P1ULV53   ,1 ,0.42  ,4.70    ,0.96   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.76   ,2.39   ,52284.64    ,3   ,
P1ULV55   ,1 ,0.42  ,5.10    ,1.04   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.76   ,2.59   ,56724.99    ,3   ,
P1ULV56   ,1 ,0.42  ,1.91    ,0.39   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.76    ,0.97   ,17953.95    ,1   ,
P1ULV57   ,1 ,0.42  ,4.70    ,0.95   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.75   ,2.39   ,52247.31    ,3   ,
P1ULV49   ,1 ,0.42  ,2.28    ,0.46   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.71    ,1.16   ,21525.37    ,1   ,
P1ULV59   ,1 ,0.42  ,5.48    ,1.11   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,13.71   ,2.78   ,60938.62    ,3   ,
P1ULV60   ,1 ,0.42  ,1.77    ,0.36   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.42    ,0.90   ,16645.97    ,1   ,
P1ULV60   ,1 ,0.42  ,4.49    ,0.91   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.22   ,2.28   ,49881.66    ,3   ,
P1ULV62   ,1 ,0.42  ,4.61    ,0.94   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.53   ,2.34   ,51243.70    ,3   ,
P1ULV63   ,1 ,0.42  ,4.13    ,0.84   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,10.34   ,2.10   ,45954.72    ,3   ,
P1ULV64   ,1 ,0.42  ,9.97    ,2.03   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,24.93   ,5.06   ,110852.60   ,6   ,
P1ULV65   ,1 ,0.42  ,1.03    ,0.21   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,2.57    ,0.52   ,9723.89     ,1   ,
P1ULV66   ,1 ,0.42  ,4.97    ,1.01   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.42   ,2.52   ,55214.12    ,3   ,
P1ULV67   ,1 ,0.42  ,3.34    ,0.68   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,8.35    ,1.70   ,37124.70    ,2   ,
P1ULV68   ,1 ,0.42  ,1.71    ,0.35   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.27    ,0.87   ,16082.50    ,1   ,
P1ULV69   ,1 ,0.42  ,2.55    ,0.52   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,6.37    ,1.29   ,28313.64    ,2   ,
P1ULV70   ,1 ,0.42  ,4.94    ,1.00   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,12.35   ,2.51   ,46542.95    ,3   ,
P1ULV71   ,1 ,0.42  ,12.77   ,2.59   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,31.93   ,6.48   ,141953.20   ,8   ,
P1ULV71   ,1 ,0.42  ,12.32   ,2.50   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,30.79   ,6.25   ,136899.90   ,7   ,
P1ULV73   ,1 ,0.42  ,13.18   ,2.68   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,32.96   ,6.69   ,146526.40   ,8   ,
P1ULV74   ,1 ,0.42  ,5.35    ,1.09   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1469 ,13.37   ,2.71   ,59445.93    ,3   ,
P1ULV75   ,1 ,0.42  ,7.58    ,1.54   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,18.96   ,3.85   ,84307.21    ,5   ,
P1ULV76   ,1 ,0.42  ,5.75    ,1.17   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,14.38   ,2.92   ,63947.20    ,4   ,
P1ULV77   ,1 ,0.42  ,4.16    ,0.84   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,10.39   ,2.11   ,46186.08    ,3   ,
P1ULV78   ,1 ,0.42  ,6.00    ,1.22   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,14.99   ,3.04   ,66656.07    ,4   ,
P1ULV79   ,1 ,0.42  ,2.17    ,0.44   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.43    ,1.10   ,20486.44    ,1   ,
P1ULV80   ,1 ,0.42  ,5.40    ,1.10   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,13.49   ,2.74   ,50844.75    ,4   ,
P1ULV81   ,1 ,0.42  ,4.87    ,0.99   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.17   ,2.47   ,54096.76    ,3   ,
P1ULV82   ,1 ,0.42  ,3.38    ,0.69   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,8.44    ,1.71   ,31820.77    ,2   ,
P1ULV83   ,1 ,0.42  ,2.16    ,0.44   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.40    ,1.10   ,20340.15    ,1   ,
P1ULV83   ,1 ,0.42  ,4.90    ,0.99   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.25   ,2.49   ,54444.30    ,3   ,
P1ULV85   ,1 ,0.42  ,8.78    ,1.78   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,21.96   ,4.46   ,97629.02    ,5   ,
P1ULV86   ,1 ,0.42  ,2.10    ,0.43   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.25    ,1.07   ,19770.93    ,1   ,
P1ULV87   ,1 ,0.42  ,6.17    ,1.25   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,15.44   ,3.13   ,68630.12    ,4   ,
P1ULV88   ,1 ,0.42  ,6.82    ,1.38   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,17.05   ,3.46   ,75789.56    ,4   ,
P1ULV89   ,1 ,0.42  ,1.82    ,0.37   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.55    ,0.92   ,17140.36    ,1   ,
P1ULV90   ,1 ,0.42  ,11.74   ,2.38   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,29.34   ,5.96   ,130448.40   ,7   ,
P1ULV91   ,1 ,0.42  ,2.15    ,0.44   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.37    ,1.09   ,20243.49    ,1   ,
P1ULV91   ,1 ,0.42  ,6.92    ,1.41   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,17.31   ,3.51   ,76945.67    ,4   ,
P1ULV93   ,1 ,0.42  ,3.91    ,0.79   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,9.77    ,1.98   ,43438.68    ,2   ,
P1ULV94   ,1 ,0.42  ,2.01    ,0.41   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.02    ,1.02   ,18914.17    ,1   ,
P1ULV94   ,1 ,0.42  ,4.58    ,0.93   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.46   ,2.33   ,50946.26    ,3   ,
P1ULV96   ,1 ,0.42  ,3.04    ,0.62   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,7.59    ,1.54   ,33762.54    ,2   ,
P1ULV97   ,1 ,0.42  ,12.29   ,2.50   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,30.73   ,6.24   ,136636.80   ,7   ,
P1ULV98   ,1 ,0.42  ,8.13    ,1.65   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,20.32   ,4.13   ,90364.41    ,5   ,
P1ULV99   ,1 ,0.42  ,7.48    ,1.52   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,18.71   ,3.80   ,83173.49    ,5   ,
P1ULV100  ,1 ,0.42  ,3.04    ,1.00   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,7.59    ,2.49   ,25313.05    ,1   ,
P1ULV101  ,1 ,0.42  ,2.40    ,0.49   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,6.01    ,1.22   ,26722.30    ,1   ,
P1ULV101  ,1 ,0.42  ,0.88    ,0.18   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,2.21    ,0.45   ,9828.21     ,1   ,
P1ULV103  ,1 ,0.42  ,2.37    ,0.48   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.92    ,1.20   ,22313.38    ,2   ,
P1ULV104  ,1 ,0.42  ,1.71    ,0.35   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.28    ,0.87   ,16115.78    ,1   ,
P1ULV105  ,1 ,0.42  ,12.66   ,2.57   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,31.64   ,6.42   ,140672.40   ,8   ,
P1ULV106  ,1 ,0.42  ,2.86    ,0.58   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,7.16    ,1.45   ,31829.04    ,2   ,
P1ULV107  ,1 ,0.42  ,9.14    ,1.86   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,22.86   ,4.64   ,101634.00   ,6   ,
P1ULV100  ,1 ,0.42  ,3.54    ,1.16   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,8.86    ,2.91   ,29551.98    ,1   ,
P1ULV109  ,1 ,0.42  ,1.35    ,0.27   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,3.37    ,0.68   ,12698.78    ,1   ,
P1ULV110  ,1 ,0.42  ,1.93    ,0.63   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.82    ,1.58   ,16070.45    ,1   ,
P1ULV111  ,1 ,0.42  ,1.50    ,0.30   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,3.75    ,0.76   ,14152.14    ,1   ,
P1ULV111  ,1 ,0.42  ,1.52    ,0.31   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,3.81    ,0.77   ,14369.85    ,1   ,
P1ULV113  ,1 ,0.42  ,2.11    ,0.43   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.28    ,1.07   ,23486.84    ,1   ,
P1ULV114  ,1 ,0.42  ,3.63    ,0.74   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,9.07    ,1.84   ,40346.90    ,2   ,
P1ULV115  ,1 ,0.42  ,4.40    ,0.89   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,10.99   ,2.23   ,48876.22    ,3   ,
P1ULV116  ,1 ,0.42  ,4.83    ,0.98   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.07   ,2.45   ,53687.15    ,3   ,
P1ULV117  ,1 ,0.42  ,4.65    ,0.94   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.61   ,2.36   ,43779.84    ,3   ,
P1ULV118  ,1 ,0.42  ,4.42    ,0.90   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.05   ,2.24   ,49126.61    ,3   ,
P1ULV119  ,1 ,0.42  ,1.41    ,0.29   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,3.53    ,0.72   ,13289.73    ,1   ,
P1ULV120  ,1 ,0.42  ,4.30    ,0.87   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,10.75   ,2.18   ,47816.81    ,3   ,
P1ULV121  ,1 ,0.42  ,4.53    ,0.92   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.32   ,2.30   ,50349.32    ,3   ,
P1ULV122  ,1 ,0.42  ,1.82    ,0.37   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.56    ,0.93   ,17181.20    ,1   ,
P1ULV122  ,1 ,0.42  ,1.33    ,0.27   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,3.32    ,0.67   ,12510.12    ,1   ,
P1ULV124  ,1 ,0.42  ,5.15    ,1.05   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.88   ,2.62   ,57261.48    ,3   ,
P1ULV125  ,1 ,0.42  ,7.16    ,1.45   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,17.90   ,3.63   ,79589.16    ,4   ,
P1ULV126  ,1 ,0.42  ,1.77    ,0.36   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.42    ,0.90   ,16677.48    ,1   ,
P1ULV127  ,1 ,0.42  ,2.20    ,0.45   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.51    ,1.12   ,20759.00    ,1   ,
P1ULV128  ,1 ,0.42  ,2.11    ,0.43   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.28    ,1.07   ,23456.05    ,1   ,
P1ULV128  ,1 ,0.42  ,1.97    ,0.40   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,4.93    ,1.00   ,18597.79    ,1   ,
P1ULV130  ,1 ,0.42  ,2.81    ,0.57   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,7.02    ,1.42   ,31191.61    ,2   ,
P1ULV131  ,1 ,0.42  ,4.75    ,1.56   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.87   ,3.90   ,39595.26    ,1   ,
P1ULV132  ,1 ,0.42  ,17.84   ,3.62   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,44.60   ,9.06   ,166800.10   ,1   ,
P1ULV133  ,1 ,0.42  ,2.06    ,0.42   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.15    ,1.05   ,19416.54    ,1   ,
P1ULV134  ,1 ,0.42  ,3.16    ,0.64   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,7.91    ,1.61   ,29823.53    ,2   ,
P1ULV135  ,1 ,0.42  ,2.14    ,0.43   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.34    ,1.09   ,23757.96    ,1   ,
P1ULV136  ,1 ,0.42  ,2.10    ,0.43   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,5.25    ,1.07   ,19775.61    ,1   ,
P1ULV136  ,1 ,0.42  ,3.70    ,0.75   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,9.24    ,1.88   ,41103.99    ,2   ,
P1ULV138  ,1 ,0.42  ,19.24   ,3.91   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,48.10   ,9.77   ,213884.30   ,12  ,
P1ULV139  ,1 ,0.42  ,4.89    ,0.99   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.23   ,2.48   ,46107.11    ,3   ,
P1ULV140  ,1 ,0.42  ,4.77    ,0.97   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,11.93   ,2.42   ,44953.23    ,3   ,
P1ULV141  ,1 ,0.42  ,5.15    ,1.05   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.88   ,2.62   ,48560.46    ,4   ,
P1ULV142  ,1 ,0.42  ,6.02    ,1.22   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,15.06   ,3.06   ,66959.33    ,4   ,
P1ULV143  ,3 ,0.42  ,27.93   ,5.67   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,69.83   ,14.18  ,310485.40   ,24  ,
P1ULV144  ,3 ,0.42  ,25.36   ,8.34   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,63.41   ,20.84  ,211505.30   ,1   ,
P1ULV145  ,1 ,0.42  ,13.69   ,4.50   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,34.22   ,11.25  ,114154.50   ,1   ,
P1ULV146  ,1 ,0.42  ,5.10    ,1.03   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,12.74   ,2.59   ,49279.86    ,1   ,
P1ULV147  ,1 ,0.42  ,9.49    ,3.12   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,23.72   ,7.80   ,79133.55    ,1   ,
P1ULV148  ,1 ,0.42  ,1.39    ,0.46   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,3.48    ,1.14   ,11613.93    ,1   ,
P1ULV149  ,1 ,0.42  ,7.09    ,2.33   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,17.73   ,5.83   ,59147.30    ,1   ,
P1ULV150  ,3 ,0.42  ,28.07   ,5.70   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,70.17   ,14.25  ,312003.80   ,24  ,
P1ULV151  ,1 ,0.42  ,11.71   ,2.38   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,29.29   ,5.95   ,130207.70   ,7   ,
P1ULV152  ,3 ,0.42  ,32.02   ,10.52  ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,80.05   ,26.31  ,267020.00   ,1   ,
P1ULV153  ,1 ,0.42  ,15.67   ,5.15   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,39.18   ,12.88  ,130701.00   ,1   ,
P1ULV154  ,1 ,0.42  ,10.75   ,2.18   ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,26.88   ,5.46   ,119505.10   ,7   ,
P1ULV155  ,3 ,0.42  ,72.49   ,14.72  ,P1UHS0_1247 ,P1UHS0_1247 -> P1UDT1470 ,181.23  ,36.80  ,659667.20   ,1   ,
