Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:P2UDT2LV-P2ULV11272)                  ,P2UDT2LV     ,P2ULV11272  ,0.42  ,0.013 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01074 ,0.00131 ,0.70377   ,0.02616 ,0.01619 ,0.04857 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDT2LV-P2ULV27742)                  ,P2UDT2LV     ,P2ULV27742  ,0.42  ,0.011 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00875 ,0.00106 ,0.57322   ,0.02131 ,0.01319 ,0.03956 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDT2LV-P2ULV43797)                  ,P2UDT2LV     ,P2ULV43797  ,0.42  ,0.012 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01006 ,0.00122 ,0.65890   ,0.02449 ,0.01516 ,0.04547 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM10-P2ULV171)                     ,P2UDM10      ,P2ULV171    ,0.42  ,0.008 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00645 ,0.00079 ,0.42281   ,0.01572 ,0.00973 ,0.02918 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM9-P2ULV3)                        ,P2UDM9       ,P2ULV3      ,0.42  ,0.009 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00774 ,0.00094 ,0.50689   ,0.01884 ,0.01166 ,0.03498 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM9-P2ULV11236)                    ,P2UDM9       ,P2ULV11236  ,0.42  ,0.004 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00321 ,0.00039 ,0.21058   ,0.00783 ,0.00484 ,0.01453 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM10-P2UDM9)                       ,P2UDM10      ,P2UDM9      ,0.42  ,0.016 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01338 ,0.00163 ,0.87637   ,0.03258 ,0.02016 ,0.06048 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM10-P2UDT2LV)                     ,P2UDT2LV     ,P2UDM10     ,0.42  ,0.032 ,1P_OH_CU_4_Ionic_0_416_0               ,0.02676 ,0.00326 ,1.75329   ,0.06517 ,0.04033 ,0.12100 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM16-P2ULV43819)                   ,P2UDM16      ,P2ULV43819  ,0.42  ,0.010 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00846 ,0.00103 ,0.55426   ,0.02060 ,0.01275 ,0.03825 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM11-P2ULV5943)                    ,P2UDM11      ,P2ULV5943   ,0.42  ,0.009 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00736 ,0.00090 ,0.48238   ,0.01793 ,0.01110 ,0.03329 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM11-P2ULV44080)                   ,P2UDM11      ,P2ULV44080  ,0.42  ,0.017 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01432 ,0.00174 ,0.93838   ,0.03488 ,0.02159 ,0.06476 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM11-P2ULV44700)                   ,P2UDM11      ,P2ULV44700  ,0.42  ,0.009 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00778 ,0.00095 ,0.50999   ,0.01896 ,0.01173 ,0.03520 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM11-P2UDM16)                      ,P2UDM16      ,P2UDM11     ,0.42  ,0.018 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01476 ,0.00180 ,0.96661   ,0.03593 ,0.02224 ,0.06671 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDM16-P2UDT2LV)                     ,P2UDT2LV     ,P2UDM16     ,0.42  ,0.016 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01338 ,0.00163 ,0.87637   ,0.03258 ,0.02016 ,0.06048 ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P2UHS13_1247 ,P2UHS13_1247 -> P2UDT5108  ,
L(R:P2UDT4LV-P2ULV21314)                  ,P2UDT4LV     ,P2ULV21314  ,0.42  ,0.009 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00465 ,0.00086 ,0.45420   ,0.01431 ,0.01110 ,0.03331 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDT4LV-P2ULV21334)                  ,P2UDT4LV     ,P2ULV21334  ,0.42  ,0.006 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00313 ,0.00058 ,0.30601   ,0.00964 ,0.00748 ,0.02244 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM21-P2ULV5)                       ,P2UDM21      ,P2ULV5      ,0.42  ,0.006 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00350 ,0.00065 ,0.34212   ,0.01078 ,0.00836 ,0.02509 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM21-P2ULV21313)                   ,P2UDM21      ,P2ULV21313  ,0.42  ,0.009 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00469 ,0.00087 ,0.45855   ,0.01445 ,0.01121 ,0.03363 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM22-P2ULV3489)                    ,P2UDM22      ,P2ULV3489   ,0.42  ,0.028 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01511 ,0.00280 ,1.47671   ,0.04652 ,0.03610 ,0.10831 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM22-P2ULV21312)                   ,P2UDM22      ,P2ULV21312  ,0.42  ,0.007 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00394 ,0.00073 ,0.38479   ,0.01212 ,0.00941 ,0.02822 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM22-P2ULV21345)                   ,P2UDM22      ,P2ULV21345  ,0.42  ,0.006 ,1P_UG_AL_2/0_Converse_0_416_0          ,0.00237 ,0.00054 ,0.30089   ,0.00817 ,0.00589 ,0.01766 ,233 ,1 ,A   ,A_LV   ,1_LV_77.6667 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM23-P2ULV21307)                   ,P2UDM23      ,P2ULV21307  ,0.42  ,0.007 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00352 ,0.00065 ,0.34392   ,0.01083 ,0.00841 ,0.02522 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM22-P2UDM23)                      ,P2UDM22      ,P2UDM23     ,0.42  ,0.029 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01541 ,0.00286 ,1.50532   ,0.04742 ,0.03680 ,0.11041 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM21-P2UDM22)                      ,P2UDM21      ,P2UDM22     ,0.42  ,0.010 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.00257 ,0.00089 ,0.55062   ,0.01043 ,0.00671 ,0.02014 ,301 ,1 ,A   ,A_LV   ,1_LV_100.333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM21-P2UDT4LV)                     ,P2UDT4LV     ,P2UDM21     ,0.42  ,0.009 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.00257 ,0.00089 ,0.55000   ,0.01042 ,0.00670 ,0.02011 ,301 ,1 ,A   ,A_LV   ,1_LV_100.333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM27-P2ULV21315)                   ,P2UDM27      ,P2ULV21315  ,0.42  ,0.009 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00501 ,0.00093 ,0.48953   ,0.01542 ,0.01197 ,0.03590 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM27-P2ULV21333)                   ,P2UDM27      ,P2ULV21333  ,0.42  ,0.005 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00270 ,0.00050 ,0.26369   ,0.00831 ,0.00645 ,0.01934 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM28-P2ULV21316)                   ,P2UDM28      ,P2ULV21316  ,0.42  ,0.009 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00484 ,0.00090 ,0.47269   ,0.01489 ,0.01156 ,0.03467 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM29-P2ULV21319)                   ,P2UDM29      ,P2ULV21319  ,0.42  ,0.010 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00533 ,0.00099 ,0.52051   ,0.01640 ,0.01273 ,0.03818 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM28-P2UDM29)                      ,P2UDM28      ,P2UDM29     ,0.42  ,0.019 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01027 ,0.00191 ,1.00336   ,0.03161 ,0.02453 ,0.07359 ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM27-P2UDM28)                      ,P2UDM27      ,P2UDM28     ,0.42  ,0.010 ,1P_UG_AL_2/0_Converse_0_416_0          ,0.00408 ,0.00093 ,0.51835   ,0.01407 ,0.01014 ,0.03043 ,233 ,1 ,A   ,A_LV   ,1_LV_77.6667 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDM27-P2UDT4LV)                     ,P2UDT4LV     ,P2UDM27     ,0.42  ,0.010 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.00257 ,0.00089 ,0.55062   ,0.01043 ,0.00671 ,0.02014 ,301 ,1 ,A   ,A_LV   ,1_LV_100.333 ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2395   ,
L(R:P2UDT5LV-P2ULV6)                      ,P2UDT5LV     ,P2ULV6      ,0.42  ,0.037 ,1P_OH_CU_4_Ionic_0_416_0               ,0.03089 ,0.00376 ,2.02330   ,0.07521 ,0.04655 ,0.13964 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDT5LV-P2ULV33057)                  ,P2UDT5LV     ,P2ULV33057  ,0.42  ,0.041 ,1P_OH_CU_4_Ionic_0_416_0               ,0.03368 ,0.00410 ,2.20664   ,0.08203 ,0.05076 ,0.15229 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDT5LV-P2ULV34021)                  ,P2UDT5LV     ,P2ULV34021  ,0.42  ,0.010 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00802 ,0.00098 ,0.52536   ,0.01953 ,0.01209 ,0.03626 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDT5LV-P2ULV34030)                  ,P2UDT5LV     ,P2ULV34030  ,0.42  ,0.015 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01228 ,0.00149 ,0.80416   ,0.02989 ,0.01850 ,0.05550 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDT5LV-P2ULV34031)                  ,P2UDT5LV     ,P2ULV34031  ,0.42  ,0.015 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01267 ,0.00154 ,0.83021   ,0.03086 ,0.01910 ,0.05730 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDM34-P2ULV6748)                    ,P2UDM34      ,P2ULV6748   ,0.42  ,0.042 ,1P_OH_CU_4_Ionic_0_416_0               ,0.03455 ,0.00420 ,2.26314   ,0.08413 ,0.05206 ,0.15619 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDM34-P2ULV8037)                    ,P2UDM34      ,P2ULV8037   ,0.42  ,0.014 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01164 ,0.00142 ,0.76273   ,0.02835 ,0.01755 ,0.05264 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDM34-P2ULV34020)                   ,P2UDM34      ,P2ULV34020  ,0.42  ,0.012 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01004 ,0.00122 ,0.65802   ,0.02446 ,0.01514 ,0.04541 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDM34-P2UDT5LV)                     ,P2UDT5LV     ,P2UDM34     ,0.42  ,0.018 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01536 ,0.00187 ,1.00633   ,0.03741 ,0.02315 ,0.06945 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDM39-P2ULV34022)                   ,P2UDM39      ,P2ULV34022  ,0.42  ,0.010 ,1P_OH_CU_4_Ionic_0_416_0               ,0.00796 ,0.00097 ,0.52172   ,0.01939 ,0.01200 ,0.03601 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDM39-P2UDT5LV)                     ,P2UDT5LV     ,P2UDM39     ,0.42  ,0.018 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01536 ,0.00187 ,1.00633   ,0.03741 ,0.02315 ,0.06945 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT5977   ,
L(R:P2UDT6LV-P2ULV7)                      ,P2UDT6LV     ,P2ULV7      ,0.42  ,0.013 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01049 ,0.00128 ,0.68748   ,0.02556 ,0.01582 ,0.04745 ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
L(R:P2UDT7LV-P2ULV8)                      ,P2UDT7LV     ,P2ULV8      ,0.42  ,0.015 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00819 ,0.00152 ,0.79977   ,0.02519 ,0.01955 ,0.05866 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDM47-P2ULV45287)                   ,P2UDM47      ,P2ULV45287  ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00633 ,0.00117 ,0.61825   ,0.01948 ,0.01512 ,0.04535 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDM44-P2ULV17456)                   ,P2UDM44      ,P2ULV17456  ,0.42  ,0.016 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00884 ,0.00164 ,0.86384   ,0.02721 ,0.02112 ,0.06336 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDM44-P2ULV45286)                   ,P2UDM44      ,P2ULV45286  ,0.42  ,0.012 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00632 ,0.00117 ,0.61713   ,0.01944 ,0.01509 ,0.04526 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDM44-P2UDM47)                      ,P2UDM47      ,P2UDM44     ,0.42  ,0.009 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.00254 ,0.00087 ,0.54316   ,0.01029 ,0.00662 ,0.01986 ,301 ,1 ,C   ,C_LV   ,1_LV_100.333 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDM47-P2UDT7LV)                     ,P2UDT7LV     ,P2UDM47     ,0.42  ,0.019 ,1P_UG_AL_4/0_Sweetbriar_0_416_0        ,0.00507 ,0.00175 ,1.08593   ,0.02057 ,0.01324 ,0.03971 ,301 ,1 ,C   ,C_LV   ,1_LV_100.333 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDM48-P2ULV45290)                   ,P2UDM48      ,P2ULV45290  ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00695 ,0.00129 ,0.67944   ,0.02140 ,0.01661 ,0.04983 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDM45-P2ULV28805)                   ,P2UDM45      ,P2ULV28805  ,0.42  ,0.014 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00737 ,0.00137 ,0.71997   ,0.02268 ,0.01760 ,0.05281 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDM45-P2UDM48)                      ,P2UDM48      ,P2UDM45     ,0.42  ,0.028 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01505 ,0.00279 ,1.47062   ,0.04633 ,0.03595 ,0.10786 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDM48-P2UDT7LV)                     ,P2UDT7LV     ,P2UDM48     ,0.42  ,0.009 ,1P_UG_AL_2/0_Converse_0_416_0          ,0.00402 ,0.00092 ,0.51141   ,0.01388 ,0.01001 ,0.03002 ,233 ,1 ,C   ,C_LV   ,1_LV_77.6667 ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT4058  ,
L(R:P2UDT8LV-P2ULV9)                      ,P2UDT8LV     ,P2ULV9      ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00714 ,0.00133 ,0.69784   ,0.02198 ,0.01706 ,0.05118 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
L(R:P2UDT8LV-P2ULV7992)                   ,P2UDT8LV     ,P2ULV7992   ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00700 ,0.00130 ,0.68358   ,0.02153 ,0.01671 ,0.05014 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
L(R:P2UDM50-P2ULV3732)                    ,P2UDM50      ,P2ULV3732   ,0.42  ,0.041 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02191 ,0.00407 ,2.14069   ,0.06744 ,0.05234 ,0.15701 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
L(R:P2UDM50-P2ULV3760)                    ,P2UDM50      ,P2ULV3760   ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00690 ,0.00128 ,0.67378   ,0.02123 ,0.01647 ,0.04942 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
L(R:P2UDM50-P2ULV9787)                    ,P2UDM50      ,P2ULV9787   ,0.42  ,0.014 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00730 ,0.00135 ,0.71308   ,0.02246 ,0.01743 ,0.05230 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
L(R:P2UDM52-P2ULV7186)                    ,P2UDM52      ,P2ULV7186   ,0.42  ,0.014 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00766 ,0.00142 ,0.74853   ,0.02358 ,0.01830 ,0.05490 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
L(R:P2UDM52-P2ULV44174)                   ,P2UDM52      ,P2ULV44174  ,0.42  ,0.041 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02195 ,0.00407 ,2.14439   ,0.06755 ,0.05243 ,0.15728 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
L(R:P2UDM58-P2ULV43771)                   ,P2UDM58      ,P2ULV43771  ,0.42  ,0.014 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00760 ,0.00141 ,0.74221   ,0.02338 ,0.01815 ,0.05444 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
L(R:P2UDM63-P2ULV46221)                   ,P2UDM63      ,P2ULV46221  ,0.42  ,0.013 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00719 ,0.00133 ,0.70273   ,0.02214 ,0.01718 ,0.05154 ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,P2UHS14_1247 ,P2UHS14_1247 -> P2UDT9594  ,
