Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:P3RDT6LV-P3RLV13)         ,P3RDT6LV    ,P3RLV13   ,0.42  ,0.104  ,1P_OH_CU_4_Ionic_0_416_0               ,0.08675 ,0.01056 ,5.68270   ,0.21124 ,0.13073  ,0.39219  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDM20-P3RLV17)          ,P3RDM20     ,P3RLV17   ,0.42  ,0.085  ,1P_OH_CU_4_Ionic_0_416_0               ,0.07072 ,0.00861 ,4.63290   ,0.17222 ,0.10658  ,0.31974  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDM20-P3RLV28)          ,P3RDM20     ,P3RLV28   ,0.42  ,0.108  ,1P_OH_CU_4_Ionic_0_416_0               ,0.08991 ,0.01094 ,5.88996   ,0.21894 ,0.13550  ,0.40649  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDM20-P3RDT6LV)         ,P3RDT6LV    ,P3RDM20   ,0.42  ,0.020  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01646 ,0.00200 ,1.07828   ,0.04008 ,0.02481  ,0.07442  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDM22-P3RLV15)          ,P3RDM22     ,P3RLV15   ,0.42  ,0.058  ,1P_OH_CU_4_Ionic_0_416_0               ,0.04823 ,0.00587 ,3.15956   ,0.11745 ,0.07269  ,0.21806  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDM22-P3RDT7LV)         ,P3RDT7LV    ,P3RDM22   ,0.42  ,0.017  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01398 ,0.00170 ,0.91608   ,0.03405 ,0.02107  ,0.06322  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDM23-P3RLV26)          ,P3RDM23     ,P3RLV26   ,0.42  ,0.060  ,1P_OH_CU_4_Ionic_0_416_0               ,0.04979 ,0.00606 ,3.26160   ,0.12124 ,0.07503  ,0.22510  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDM23-P3RDT7LV)         ,P3RDT7LV    ,P3RDM23   ,0.42  ,0.017  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01399 ,0.00170 ,0.91655   ,0.03407 ,0.02109  ,0.06326  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDT8LV-P3RLV16)         ,P3RDT8LV    ,P3RLV16   ,0.42  ,0.029  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02443 ,0.00297 ,1.60059   ,0.05950 ,0.03682  ,0.11046  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDT9LV-P3RLV29)         ,P3RDT9LV    ,P3RLV29   ,0.42  ,0.061  ,1P_OH_CU_4_Ionic_0_416_0               ,0.05057 ,0.00615 ,3.31302   ,0.12315 ,0.07622  ,0.22865  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDM25-P3RLV18)          ,P3RDM25     ,P3RLV18   ,0.42  ,0.042  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03523 ,0.00429 ,2.30774   ,0.08578 ,0.05309  ,0.15927  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDM25-P3RDT9LV)         ,P3RDT9LV    ,P3RDM25   ,0.42  ,0.018  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01516 ,0.00184 ,0.99321   ,0.03692 ,0.02285  ,0.06855  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDT10LV-P3RLV19)        ,P3RDT10LV   ,P3RLV19   ,0.42  ,0.001  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00083 ,0.00010 ,0.05448   ,0.00203 ,0.00125  ,0.00376  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT11LV-P3RLV20)        ,P3RDT11LV   ,P3RLV20   ,0.42  ,0.001  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00083 ,0.00010 ,0.05448   ,0.00203 ,0.00125  ,0.00376  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT12LV-P3RLV21)        ,P3RDT12LV   ,P3RLV21   ,0.42  ,0.038  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03138 ,0.00382 ,2.05559   ,0.07641 ,0.04729  ,0.14187  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT13LV-P3RLV22)        ,P3RDT13LV   ,P3RLV22   ,0.42  ,0.089  ,1P_OH_CU_4_Ionic_0_416_0               ,0.07440 ,0.00905 ,4.87358   ,0.18116 ,0.11212  ,0.33635  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDT14LV-P3RLV23)        ,P3RDT14LV   ,P3RLV23   ,0.42  ,0.016  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01318 ,0.00160 ,0.86312   ,0.03208 ,0.01986  ,0.05957  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDT15LV-P3RLV24)        ,P3RDT15LV   ,P3RLV24   ,0.42  ,0.082  ,1P_OH_CU_4_Ionic_0_416_0               ,0.06855 ,0.00834 ,4.49033   ,0.16692 ,0.10330  ,0.30990  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT836  ,
L(R:P3RDT16LV-P3RLV27)        ,P3RDT16LV   ,P3RLV27   ,0.42  ,0.022  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01815 ,0.00221 ,1.18902   ,0.04420 ,0.02735  ,0.08206  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT1052 ,
L(R:P3RDT17LV-P3RLV30)        ,P3RDT17LV   ,P3RLV30   ,0.42  ,0.023  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01909 ,0.00232 ,1.25069   ,0.04649 ,0.02877  ,0.08632  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDM35-P3RLV31)          ,P3RDM35     ,P3RLV31   ,0.42  ,0.020  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01629 ,0.00198 ,1.06691   ,0.03966 ,0.02454  ,0.07363  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDM35-P3RDT18LV)        ,P3RDT18LV   ,P3RDM35   ,0.42  ,0.035  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02893 ,0.00352 ,1.89510   ,0.07045 ,0.04360  ,0.13079  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDM36-P3RLV36)          ,P3RDM36     ,P3RLV36   ,0.42  ,0.034  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02861 ,0.00348 ,1.87453   ,0.06968 ,0.04312  ,0.12937  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDM36-P3RDT18LV)        ,P3RDT18LV   ,P3RDM36   ,0.42  ,0.017  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01447 ,0.00176 ,0.94788   ,0.03524 ,0.02181  ,0.06542  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT19LV-P3RLV32)        ,P3RDT19LV   ,P3RLV32   ,0.42  ,0.024  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02032 ,0.00247 ,1.33112   ,0.04948 ,0.03062  ,0.09187  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT20LV-P3RLV33)        ,P3RDT20LV   ,P3RLV33   ,0.42  ,0.013  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01045 ,0.00127 ,0.68450   ,0.02544 ,0.01575  ,0.04724  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT21LV-P3RLV34)        ,P3RDT21LV   ,P3RLV34   ,0.42  ,0.024  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02024 ,0.00246 ,1.32572   ,0.04928 ,0.03050  ,0.09149  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT22LV-P3RLV35)        ,P3RDT22LV   ,P3RLV35   ,0.42  ,0.052  ,1P_OH_CU_4_Ionic_0_416_0               ,0.04284 ,0.00521 ,2.80653   ,0.10433 ,0.06456  ,0.19369  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT23LV-P3RLV37)_s0     ,P3RDT23LV   ,P3RLV37   ,0.42  ,0.062  ,1P_OH_CU_4_Ionic_0_416_0               ,0.05157 ,0.00628 ,3.37862   ,0.12559 ,0.07772  ,0.23317  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDT23LV-P3RLV37)_s1     ,P3RDT23LV   ,P3RLV37   ,0.42  ,0.009  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00769 ,0.00094 ,0.50371   ,0.01872 ,0.01159  ,0.03476  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDT23LV-P3RLV44)        ,P3RDT23LV   ,P3RLV44   ,0.42  ,0.042  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03464 ,0.00421 ,2.26896   ,0.08434 ,0.05220  ,0.15659  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDT24LV-P3RLV38)        ,P3RDT24LV   ,P3RLV38   ,0.42  ,0.037  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03110 ,0.00378 ,2.03724   ,0.07573 ,0.04687  ,0.14060  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDT24LV-P3RLV40)        ,P3RDT24LV   ,P3RLV40   ,0.42  ,0.004  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00342 ,0.00042 ,0.22384   ,0.00832 ,0.00515  ,0.01545  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDT24LV-P3RLV42)        ,P3RDT24LV   ,P3RLV42   ,0.42  ,0.002  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00205 ,0.00025 ,0.13439   ,0.00500 ,0.00309  ,0.00927  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDM44-P3RLV39)          ,P3RDM44     ,P3RLV39   ,0.42  ,0.010  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00865 ,0.00105 ,0.56663   ,0.02106 ,0.01304  ,0.03911  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDM44-P3RDT24LV)        ,P3RDT24LV   ,P3RDM44   ,0.42  ,0.017  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01450 ,0.00176 ,0.94997   ,0.03531 ,0.02185  ,0.06556  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDT25LV-P3RLV41)        ,P3RDT25LV   ,P3RLV41   ,0.42  ,0.038  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03190 ,0.00388 ,2.09004   ,0.07769 ,0.04808  ,0.14424  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDT26LV-P3RLV43)        ,P3RDT26LV   ,P3RLV43   ,0.42  ,0.037  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03076 ,0.00374 ,2.01491   ,0.07490 ,0.04635  ,0.13906  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS1_1247 ,P3RHS1_1247 -> P3RDT1272 ,
L(R:P3RDT27LV-P3RLV45)        ,P3RDT27LV   ,P3RLV45   ,0.42  ,0.018  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01510 ,0.00184 ,0.98936   ,0.03678 ,0.02276  ,0.06828  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT27LV-P3RLV50)        ,P3RDT27LV   ,P3RLV50   ,0.42  ,0.021  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01744 ,0.00212 ,1.14243   ,0.04247 ,0.02628  ,0.07884  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT27LV-P3RLV53)        ,P3RDT27LV   ,P3RLV53   ,0.42  ,0.007  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00573 ,0.00070 ,0.37556   ,0.01396 ,0.00864  ,0.02592  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT27LV-P3RLV56)        ,P3RDT27LV   ,P3RLV56   ,0.42  ,0.004  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00348 ,0.00042 ,0.22782   ,0.00847 ,0.00524  ,0.01572  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT28LV-P3RLV46)        ,P3RDT28LV   ,P3RLV46   ,0.42  ,0.032  ,1P_OH_CU_4_Ionic_0_416_0               ,0.02680 ,0.00326 ,1.75584   ,0.06527 ,0.04039  ,0.12118  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT28LV-P3RLV58)        ,P3RDT28LV   ,P3RLV58   ,0.42  ,0.011  ,1P_OH_CU_4_Ionic_0_416_0               ,0.00928 ,0.00113 ,0.60785   ,0.02260 ,0.01398  ,0.04195  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT28LV-P3RLV62)        ,P3RDT28LV   ,P3RLV62   ,0.42  ,0.023  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01914 ,0.00233 ,1.25404   ,0.04662 ,0.02885  ,0.08655  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT29LV-P3RLV47)        ,P3RDT29LV   ,P3RLV47   ,0.42  ,0.066  ,1P_OH_CU_4_Ionic_0_416_0               ,0.05527 ,0.00672 ,3.62052   ,0.13458 ,0.08329  ,0.24987  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT30LV-P3RLV60)        ,P3RDT30LV   ,P3RLV60   ,0.42  ,0.042  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03452 ,0.00420 ,2.26117   ,0.08405 ,0.05202  ,0.15605  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDM57-P3RLV48)          ,P3RDM57     ,P3RLV48   ,0.42  ,0.056  ,1P_OH_CU_4_Ionic_0_416_0               ,0.04677 ,0.00569 ,3.06362   ,0.11388 ,0.07048  ,0.21144  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDM57-P3RDT30LV)        ,P3RDT30LV   ,P3RDM57   ,0.42  ,0.019  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01581 ,0.00192 ,1.03596   ,0.03851 ,0.02383  ,0.07150  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDT31LV-P3RLV51)        ,P3RDT31LV   ,P3RLV51   ,0.42  ,0.044  ,1P_OH_CU_4_Ionic_0_416_0               ,0.03697 ,0.00450 ,2.42190   ,0.09003 ,0.05572  ,0.16715  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDM59-P3RLV49)          ,P3RDM59     ,P3RLV49   ,0.42  ,0.061  ,1P_OH_CU_4_Ionic_0_416_0               ,0.05087 ,0.00619 ,3.33241   ,0.12387 ,0.07666  ,0.22998  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDM59-P3RLV59)          ,P3RDM59     ,P3RLV59   ,0.42  ,0.075  ,1P_OH_CU_4_Ionic_0_416_0               ,0.06224 ,0.00757 ,4.07704   ,0.15155 ,0.09379  ,0.28138  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
L(R:P3RDM59-P3RDT31LV)        ,P3RDT31LV   ,P3RDM59   ,0.42  ,0.020  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01636 ,0.00199 ,1.07202   ,0.03985 ,0.02466  ,0.07399  ,115 ,1 ,A   ,A_LV   ,1_LV_38.3333 ,P3RHS0_1247 ,P3RHS0_1247 -> P3RDT656  ,
